Symbol,Company Name,Industry,Market Cap
ARMP,Armata Pharmaceuticals,Biotechnology,148.43M
ARNA,Arena Pharmaceuticals,Biotechnology,5.57B
ARNC,Arconic,Aerospace &amp; Defense,3.36B
AROC,Archrock,Energy Equipment &amp; Services,1.23B
AROW,Arrow Financial,Banks,554.73M
ARQQ,Arqit Quantum,Software-Infrastructure,2.13B
ARQT,Arcutis Biotherapeutics,Biotechnology,774.55M
ARR,ARMOUR Residential REIT,"Mortgage Real Estate Investment 
Trus...",828.73M
ARRW,Arrowroot Acquisition,Blank Check / SPAC,348.41M
ARRY,Array Technologies,Solar,1.59B
ARTA,Artisan Acquisition,Blank Check / SPAC,434.35M
ARTE,Artemis Strategic Investment,Blank Check / SPAC,249.30M
ARTL,Artelo Biosciences,Pharmaceuticals,16.68M
ARTNA,Artesian Resources,Water Utilities,419.97M
ARTW,Art's-Way Manufacturing Co.,Machinery,15.17M
ARVL,Arrival,Auto Manufacturers,2.82B
ARVN,Arvinas,Pharmaceuticals,3.55B
ARW,Arrow Electronics,"Electronic Equipment, Instruments &amp; C...",8.68B
ARWR,Arrowhead Pharmaceuticals,Biotechnology,5.31B
ARYD,ARYA Sciences Acquisition IV,Blank Check / SPAC,188.22M
ARYE,Arya Sciences Acquisition V,Blank Check / SPAC,185.73M
ASA,ASA Gold and Precious Metals,Capital Markets,415.31M
ASAI,Sendas Distribuidora,Food &amp; Staples Retailing,3.00B
ASAN,Asana,Software,9.40B
